x,y,spreed,ants,time
-30,-40,1,122,0
-2,-4,1,67,0
33,-7,1,88,0
-15,7,1,90,0
-30,-15,1,130,0
6,22,1,69,0
38,10,1,89,0
14,34,1,29,0
19,41,1,82,0
-25,-11,1,23,0
-43,-33,1,110,0
18,-25,1,148,0
37,19,1,78,0
22,19,1,102,0
-11,11,1,101,0
40,7,1,139,0
5,20,1,48,0
-29,-18,1,65,0
-5,27,1,47,0
-9,-30,1,120,0
17,42,1,124,0
29,-1,1,20,0
39,-45,1,16,0
22,-29,1,28,0
-9,-11,1,30,0
-28,-35,1,25,0
-9,21,1,91,0
12,-33,1,21,0
-24,25,1,61,0
-36,37,1,132,0
-44,32,1,24,0
1,3,1,108,0
-23,-39,1,14,0
32,-19,1,70,0
-24,-30,1,15,0
32,38,1,128,0
25,44,1,80,0
18,-39,1,17,0
-41,27,1,125,0
2,16,1,146,0
2,-40,1,35,0
7,-14,1,46,0
-17,-7,1,129,0
31,45,1,7,0
-16,-35,1,143,0
31,4,1,11,0
26,-36,1,84,0
-41,-26,1,85,0
-29,-25,1,138,0
-27,14,1,71,0
8,15,1,43,0
32,-23,1,112,0
34,-1,1,100,0
-6,19,1,99,0
13,11,1,68,0
-35,15,1,81,0
1,-43,1,114,0
-2,-39,1,79,0
-23,-26,1,118,0
6,23,1,36,0
21,-7,1,63,0
-6,-38,1,51,0
24,-16,1,141,0
-25,-26,1,40,0
5,36,1,149,0
34,8,1,1,0
-9,-7,1,123,0
-2,-29,1,8,0
-29,3,1,147,0
33,-44,1,95,0
-18,-2,1,72,0
16,43,1,103,0
26,23,1,9,0
-6,-25,1,77,0
-24,16,1,42,0
35,8,1,26,0
-1,-30,1,83,0
44,-17,1,52,0
24,23,1,58,0
31,-8,1,134,0
-29,-42,1,64,0
36,-38,1,76,0
13,-20,1,94,0
8,-27,1,4,0
-24,-1,1,140,0
-1,-8,1,87,0
-14,-25,1,121,0
-35,-19,1,75,0
-3,-38,1,0,0
11,24,1,3,0
-46,41,1,144,0
40,32,1,50,0
36,-13,1,37,0
6,-30,1,54,0
-26,-31,1,31,0
9,-31,1,119,0
-25,-17,1,107,0
-21,26,1,44,0
-22,5,1,145,0
19,-41,1,22,0
37,-20,1,56,0
20,25,1,32,0
-38,-8,1,19,0
-24,-27,1,97,0
-27,-20,1,73,0
14,-22,1,38,0
20,-15,1,142,0
-37,-31,1,13,0
-38,27,1,115,0
1,-6,1,109,0
32,-45,1,62,0
-22,-16,1,18,0
-11,-45,1,6,0
-40,7,1,59,0
-1,30,1,49,0
-39,-25,1,127,0
-28,23,1,53,0
-21,-39,1,55,0
5,45,1,93,0
-2,-33,1,45,0
-21,12,1,74,0
41,-6,1,12,0
12,-19,1,111,0
-38,-7,1,41,0
25,10,1,106,0
14,-34,1,27,0
0,-14,1,33,0
-41,-27,1,126,0
-14,9,1,96,0
-16,-34,1,104,0
11,-37,1,136,0
-20,25,1,105,0
37,-27,1,133,0
-22,-16,1,2,0
13,5,1,135,0
18,-44,1,98,0
43,39,1,92,0
-15,-20,1,5,0
27,3,1,34,0
-11,-42,1,113,0
-16,38,1,116,0
11,-31,1,66,0
-5,22,1,60,0
-12,41,1,39,0
0,35,1,10,0
8,39,1,86,0
-10,-39,1,131,0
6,-39,1,137,0
-26,13,1,117,0
6,-44,1,57,0
-44,31,1,24,1
19,-42,1,22,1
39,7,1,139,1
-41,-25,1,85,1
18,-26,1,148,1
-29,-18,1,65,1
-13,-25,1,121,1
1,-6,1,109,1
2,-44,1,114,1
-6,27,1,47,1
6,35,1,149,1
32,-44,1,95,1
14,-34,1,27,1
19,-14,1,142,1
7,-26,1,4,1
36,-39,1,76,1
18,41,1,82,1
-1,-29,1,8,1
-3,-32,1,45,1
-29,2,1,147,1
-38,26,1,115,1
-12,11,1,101,1
-21,-17,1,18,1
-2,30,1,49,1
-16,37,1,116,1
2,4,1,108,1
-28,-25,1,138,1
7,38,1,86,1
24,44,1,80,1
-7,19,1,99,1
-31,-15,1,130,1
-1,-38,1,79,1
-23,-31,1,15,1
0,34,1,10,1
11,-19,1,111,1
-9,22,1,91,1
35,0,1,100,1
39,31,1,50,1
4,19,1,48,1
-22,-17,1,2,1
-3,-4,1,67,1
-36,-31,1,13,1
-1,-13,1,33,1
34,7,1,26,1
17,43,1,124,1
14,11,1,68,1
43,38,1,92,1
30,4,1,11,1
-11,-45,1,6,1
26,9,1,106,1
-24,15,1,42,1
25,-15,1,141,1
-26,-30,1,31,1
-5,-38,1,51,1
40,-45,1,16,1
-24,-18,1,107,1
18,-38,1,17,1
-45,40,1,144,1
-23,-27,1,118,1
-43,-34,1,110,1
-4,23,1,60,1
-23,-26,1,97,1
38,-20,1,56,1
-27,13,1,117,1
-28,15,1,71,1
28,3,1,34,1
-27,-20,1,73,1
-26,-11,1,23,1
2,15,1,146,1
42,-5,1,12,1
12,23,1,3,1
-9,-29,1,120,1
-41,-26,1,126,1
32,-7,1,88,1
-29,-40,1,122,1
-15,-34,1,104,1
31,38,1,128,1
31,-45,1,62,1
-29,-36,1,25,1
-38,-24,1,127,1
-40,7,1,59,1
-39,-7,1,41,1
11,-34,1,21,1
7,-30,1,54,1
-14,-20,1,5,1
22,18,1,102,1
6,-43,1,57,1
17,-44,1,98,1
-10,-7,1,123,1
24,24,1,58,1
-25,25,1,61,1
-35,-20,1,75,1
13,33,1,29,1
-8,-12,1,30,1
-16,-8,1,129,1
10,-31,1,66,1
-2,-30,1,83,1
21,-7,1,63,1
-19,-2,1,72,1
-21,25,1,105,1
-24,-39,1,14,1
-22,25,1,44,1
30,45,1,7,1
-12,40,1,39,1
8,14,1,43,1
-15,6,1,90,1
-40,27,1,125,1
-15,8,1,96,1
37,-14,1,37,1
9,-30,1,119,1
-30,-41,1,64,1
-7,-25,1,77,1
38,-27,1,133,1
6,-38,1,137,1
-10,-41,1,113,1
6,22,1,36,1
15,-22,1,38,1
-3,-39,1,0,1
-1,-7,1,87,1
25,22,1,9,1
3,-41,1,35,1
-9,-40,1,131,1
-22,-39,1,55,1
11,-36,1,136,1
16,44,1,103,1
14,-20,1,94,1
22,-29,1,28,1
-34,14,1,81,1
-15,-35,1,143,1
-25,0,1,140,1
5,44,1,93,1
-23,6,1,145,1
-27,23,1,53,1
8,-14,1,46,1
44,-18,1,52,1
7,22,1,69,1
-24,-27,1,40,1
38,11,1,89,1
31,-22,1,112,1
-37,-9,1,19,1
13,6,1,135,1
19,24,1,32,1
37,20,1,78,1
27,-36,1,84,1
28,0,1,20,1
33,-20,1,70,1
-20,11,1,74,1
-36,38,1,132,1
33,8,1,1,1
32,-9,1,134,1
19,-26,1,148,2
17,44,1,124,2
-40,-7,1,41,2
-13,10,1,101,2
-25,1,1,140,2
-10,-44,1,6,2
8,-30,1,119,2
27,8,1,106,2
-42,-35,1,110,2
-29,16,1,71,2
-38,-23,1,127,2
-3,-40,1,0,2
23,-30,1,28,2
-11,-8,1,123,2
16,-45,1,98,2
38,31,1,50,2
-20,10,1,74,2
-23,-26,1,97,2
-22,24,1,105,2
-23,25,1,44,2
-15,36,1,116,2
-23,7,1,145,2
-41,-24,1,85,2
0,-39,1,79,2
13,-33,1,27,2
-3,30,1,49,2
-23,-28,1,118,2
19,-13,1,142,2
-44,30,1,24,2
-29,-37,1,25,2
9,-14,1,46,2
10,-19,1,111,2
31,45,1,7,2
17,40,1,82,2
-20,-2,1,72,2
-15,-8,1,129,2
7,35,1,149,2
-28,-20,1,73,2
-27,12,1,117,2
20,-6,1,63,2
31,-7,1,88,2
11,-35,1,136,2
-45,39,1,144,2
-26,-29,1,31,2
33,9,1,1,2
0,-7,1,109,2
2,-44,1,114,2
17,-37,1,17,2
8,22,1,69,2
24,45,1,80,2
8,13,1,43,2
16,-22,1,38,2
-23,-18,1,107,2
-3,23,1,60,2
-23,-17,1,2,2
-33,14,1,81,2
39,-28,1,133,2
37,-40,1,76,2
-29,1,1,147,2
17,45,1,103,2
30,39,1,128,2
22,17,1,102,2
-4,-32,1,45,2
-8,22,1,91,2
30,-21,1,112,2
-27,-12,1,23,2
41,-45,1,16,2
25,22,1,9,2
-3,-30,1,83,2
-39,26,1,115,2
0,-6,1,87,2
34,6,1,26,2
-3,-5,1,67,2
28,3,1,34,2
-1,33,1,10,2
-30,-19,1,65,2
13,23,1,3,2
15,-20,1,94,2
-2,-13,1,33,2
31,-44,1,62,2
38,12,1,89,2
-29,-41,1,122,2
4,18,1,48,2
-15,7,1,96,2
-36,-9,1,19,2
-21,-18,1,18,2
-36,39,1,132,2
-41,8,1,59,2
-39,26,1,125,2
-14,-34,1,104,2
-25,24,1,61,2
33,-21,1,70,2
-36,-30,1,13,2
-27,-25,1,138,2
-1,-30,1,8,2
19,-43,1,22,2
5,43,1,93,2
-10,-41,1,113,2
-35,-21,1,75,2
9,-30,1,66,2
26,-15,1,141,2
-8,-13,1,30,2
-7,26,1,47,2
28,-36,1,84,2
6,38,1,86,2
5,-37,1,137,2
36,20,1,78,2
6,-26,1,4,2
44,37,1,92,2
8,-30,1,54,2
12,7,1,135,2
-26,23,1,53,2
-8,-40,1,131,2
-15,5,1,90,2
35,1,1,100,2
-23,-39,1,55,2
-8,-25,1,77,2
-12,-24,1,121,2
-40,-26,1,126,2
19,23,1,32,2
2,5,1,108,2
15,10,1,68,2
45,-19,1,52,2
33,-9,1,134,2
5,-43,1,57,2
-30,-40,1,64,2
29,5,1,11,2
-25,-40,1,14,2
-13,-20,1,5,2
-24,14,1,42,2
-22,-31,1,15,2
-4,-39,1,51,2
-13,40,1,39,2
24,25,1,58,2
42,-5,1,12,2
-8,20,1,99,2
-8,-28,1,120,2
12,33,1,29,2
3,-42,1,35,2
27,-1,1,20,2
5,22,1,36,2
-24,-28,1,40,2
10,-34,1,21,2
-32,-15,1,130,2
38,8,1,139,2
2,14,1,146,2
31,-44,1,95,2
38,-14,1,37,2
38,-21,1,56,2
-14,-36,1,143,2
-24,24,1,44,3
11,-34,1,136,3
3,-44,1,114,3
37,-41,1,76,3
-40,-6,1,41,3
25,44,1,80,3
4,-42,1,57,3
-16,7,1,96,3
-19,10,1,74,3
0,-8,1,109,3
16,44,1,103,3
28,2,1,34,3
-3,-41,1,0,3
-24,13,1,42,3
-28,12,1,117,3
-12,-23,1,121,3
-36,40,1,132,3
-40,25,1,115,3
16,40,1,82,3
32,44,1,7,3
-39,26,1,125,3
-28,-42,1,122,3
-4,-29,1,83,3
-31,-39,1,64,3
-26,-25,1,138,3
-45,38,1,144,3
19,-27,1,148,3
-3,-6,1,67,3
4,23,1,36,3
3,6,1,108,3
9,-19,1,111,3
9,-29,1,66,3
-12,-9,1,123,3
16,-21,1,94,3
-35,-29,1,13,3
-44,29,1,24,3
-7,25,1,47,3
17,45,1,124,3
-13,-34,1,104,3
17,-22,1,38,3
0,-31,1,8,3
7,13,1,43,3
-22,-18,1,107,3
44,37,1,92,3
-8,-28,1,120,3
34,-21,1,70,3
-2,24,1,60,3
-21,-30,1,15,3
30,-21,1,112,3
1,-39,1,79,3
1,-6,1,87,3
-14,36,1,116,3
12,-33,1,27,3
-25,23,1,61,3
30,-7,1,88,3
9,23,1,69,3
-23,-28,1,40,3
42,-45,1,16,3
7,-29,1,119,3
13,22,1,3,3
35,21,1,78,3
27,-15,1,141,3
32,10,1,1,3
-33,-14,1,130,3
4,-43,1,35,3
-24,7,1,145,3
