x,y,spreed,ent,time
-43,-7,1,45.0,0.0
-41,32,1,133.0,0.0
38,-39,1,109.0,0.0
27,10,1,58.0,0.0
-35,39,1,140.0,0.0
-30,-30,1,30.0,0.0
22,-46,1,82.0,0.0
-3,-38,1,40.0,0.0
29,-14,1,65.0,0.0
30,39,1,112.0,0.0
-28,-37,1,61.0,0.0
-19,-32,1,29.0,0.0
-39,23,1,72.0,0.0
-21,10,1,134.0,0.0
-16,12,1,93.0,0.0
-35,-43,1,117.0,0.0
-14,12,1,106.0,0.0
4,-35,1,99.0,0.0
8,4,1,118.0,0.0
21,15,1,59.0,0.0
21,-14,1,70.0,0.0
39,-22,1,92.0,0.0
-19,-7,1,110.0,0.0
27,-29,1,138.0,0.0
-20,-44,1,51.0,0.0
-5,-8,1,28.0,0.0
-14,26,1,114.0,0.0
-30,19,1,6.0,0.0
20,-35,1,95.0,0.0
-42,39,1,78.0,0.0
7,-29,1,131.0,0.0
5,-34,1,42.0,0.0
34,7,1,71.0,0.0
-29,-1,1,48.0,0.0
45,-1,1,63.0,0.0
5,-10,1,119.0,0.0
43,4,1,39.0,0.0
-6,-39,1,18.0,0.0
-45,12,1,16.0,0.0
-23,30,1,27.0,0.0
-1,-40,1,26.0,0.0
30,44,1,15.0,0.0
-22,-5,1,130.0,0.0
4,34,1,13.0,0.0
35,-19,1,77.0,0.0
13,43,1,0.0,0.0
-30,12,1,20.0,0.0
16,12,1,87.0,0.0
-21,-28,1,11.0,0.0
-7,-4,1,44.0,0.0
15,-19,1,137.0,0.0
-16,29,1,136.0,0.0
-4,5,1,46.0,0.0
-23,21,1,142.0,0.0
30,37,1,62.0,0.0
-27,18,1,132.0,0.0
16,20,1,76.0,0.0
23,-2,1,50.0,0.0
2,-21,1,113.0,0.0
-26,-17,1,57.0,0.0
-40,-6,1,141.0,0.0
21,0,1,125.0,0.0
2,12,1,35.0,0.0
-19,29,1,33.0,0.0
3,-22,1,148.0,0.0
4,33,1,60.0,0.0
-1,-28,1,36.0,0.0
-7,42,1,9.0,0.0
-24,-45,1,17.0,0.0
-17,-7,1,31.0,0.0
18,14,1,98.0,0.0
-15,-27,1,53.0,0.0
-46,44,1,126.0,0.0
-37,36,1,100.0,0.0
10,39,1,143.0,0.0
-6,-29,1,89.0,0.0
-2,-7,1,52.0,0.0
3,-36,1,88.0,0.0
-40,13,1,124.0,0.0
-13,27,1,105.0,0.0
-34,-32,1,129.0,0.0
15,13,1,64.0,0.0
36,40,1,121.0,0.0
41,-27,1,43.0,0.0
8,39,1,8.0,0.0
-7,-39,1,66.0,0.0
3,-5,1,10.0,0.0
-41,16,1,7.0,0.0
35,9,1,94.0,0.0
-43,7,1,69.0,0.0
-29,-22,1,146.0,0.0
-38,-41,1,81.0,0.0
-44,35,1,3.0,0.0
-2,-11,1,83.0,0.0
39,5,1,14.0,0.0
32,35,1,128.0,0.0
23,13,1,79.0,0.0
18,-6,1,34.0,0.0
13,-30,1,24.0,0.0
21,-10,1,67.0,0.0
17,23,1,73.0,0.0
30,38,1,2.0,0.0
15,2,1,123.0,0.0
-22,-44,1,91.0,0.0
-19,31,1,75.0,0.0
29,-26,1,101.0,0.0
-8,45,1,84.0,0.0
41,-9,1,149.0,0.0
27,25,1,74.0,0.0
-44,9,1,115.0,0.0
34,-11,1,97.0,0.0
36,23,1,116.0,0.0
-28,0,1,120.0,0.0
-46,-3,1,139.0,0.0
31,9,1,122.0,0.0
-44,18,1,22.0,0.0
10,-19,1,102.0,0.0
-23,-1,1,96.0,0.0
43,33,1,144.0,0.0
-43,-26,1,4.0,0.0
19,17,1,38.0,0.0
25,11,1,111.0,0.0
28,-5,1,107.0,0.0
-17,-26,1,37.0,0.0
21,-19,1,68.0,0.0
-13,-8,1,86.0,0.0
-16,22,1,147.0,0.0
18,-44,1,55.0,0.0
4,10,1,19.0,0.0
-36,-40,1,1.0,0.0
36,23,1,104.0,0.0
-26,16,1,12.0,0.0
-2,35,1,135.0,0.0
22,41,1,127.0,0.0
-45,-9,1,23.0,0.0
26,-27,1,145.0,0.0
-4,-2,1,49.0,0.0
13,-43,1,90.0,0.0
2,27,1,5.0,0.0
-21,0,1,103.0,0.0
35,-40,1,108.0,0.0
-23,37,1,85.0,0.0
32,-29,1,21.0,0.0
17,31,1,32.0,0.0
-30,12,1,80.0,0.0
10,1,1,41.0,0.0
-37,-8,1,56.0,0.0
-16,16,1,25.0,0.0
42,31,1,47.0,0.0
41,-33,1,54.0,0.0
1,-20,1,113.0,1.0
21,14,1,59.0,1.0
-3,4,1,46.0,1.0
41,-8,1,149.0,1.0
45,-2,1,63.0,1.0
42,32,1,47.0,1.0
-15,12,1,106.0,1.0
27,11,1,58.0,1.0
43,3,1,39.0,1.0
31,38,1,2.0,1.0
22,-45,1,82.0,1.0
-28,-38,1,61.0,1.0
-8,-4,1,44.0,1.0
-14,-27,1,53.0,1.0
-28,18,1,132.0,1.0
20,17,1,38.0,1.0
-26,-17,1,57.0,1.0
0,-41,1,26.0,1.0
4,11,1,19.0,1.0
-45,18,1,22.0,1.0
31,37,1,62.0,1.0
-15,12,1,93.0,1.0
37,23,1,116.0,1.0
-13,28,1,105.0,1.0
19,13,1,98.0,1.0
21,-18,1,68.0,1.0
-30,-2,1,48.0,1.0
-6,-29,1,89.0,1.0
26,25,1,74.0,1.0
-37,-7,1,56.0,1.0
-16,-7,1,31.0,1.0
-24,30,1,27.0,1.0
21,41,1,127.0,1.0
-5,-1,1,49.0,1.0
36,41,1,121.0,1.0
18,-43,1,55.0,1.0
-46,-9,1,23.0,1.0
-45,9,1,115.0,1.0
34,-40,1,108.0,1.0
-40,-5,1,141.0,1.0
3,-4,1,10.0,1.0
-23,-43,1,91.0,1.0
7,-30,1,131.0,1.0
-20,-43,1,51.0,1.0
-5,-39,1,18.0,1.0
-31,-30,1,30.0,1.0
-21,-5,1,130.0,1.0
-43,-8,1,45.0,1.0
-8,44,1,84.0,1.0
22,-10,1,67.0,1.0
3,34,1,60.0,1.0
40,-28,1,43.0,1.0
-20,-1,1,103.0,1.0
-42,-25,1,4.0,1.0
14,-19,1,137.0,1.0
12,44,1,0.0,1.0
-6,-39,1,66.0,1.0
19,-6,1,34.0,1.0
32,-28,1,21.0,1.0
-38,24,1,72.0,1.0
-45,-3,1,139.0,1.0
-46,43,1,126.0,1.0
24,-2,1,50.0,1.0
21,1,1,125.0,1.0
15,1,1,123.0,1.0
-28,-22,1,146.0,1.0
-41,32,1,133.0,1.0
33,7,1,71.0,1.0
-39,13,1,124.0,1.0
13,-30,1,24.0,1.0
-2,36,1,135.0,1.0
-18,31,1,75.0,1.0
-34,39,1,140.0,1.0
-35,-42,1,117.0,1.0
-36,-41,1,1.0,1.0
27,-5,1,107.0,1.0
15,12,1,87.0,1.0
-29,19,1,6.0,1.0
32,36,1,128.0,1.0
-21,-29,1,11.0,1.0
3,-22,1,148.0,1.0
29,-13,1,65.0,1.0
-17,28,1,136.0,1.0
29,45,1,15.0,1.0
16,14,1,64.0,1.0
-15,17,1,25.0,1.0
-29,-1,1,120.0,1.0
-15,25,1,114.0,1.0
-23,-44,1,17.0,1.0
-37,-40,1,81.0,1.0
-37,35,1,100.0,1.0
11,-19,1,102.0,1.0
2,28,1,5.0,1.0
-20,-33,1,29.0,1.0
-4,-8,1,28.0,1.0
25,-27,1,145.0,1.0
-2,-38,1,40.0,1.0
3,12,1,35.0,1.0
4,-35,1,42.0,1.0
-12,-8,1,86.0,1.0
-23,36,1,85.0,1.0
-7,43,1,9.0,1.0
7,38,1,8.0,1.0
-42,7,1,69.0,1.0
-44,12,1,16.0,1.0
-26,15,1,12.0,1.0
-2,-8,1,52.0,1.0
35,-20,1,77.0,1.0
-43,35,1,3.0,1.0
-15,21,1,147.0,1.0
18,31,1,32.0,1.0
20,-34,1,95.0,1.0
-2,-27,1,36.0,1.0
35,24,1,104.0,1.0
-42,17,1,7.0,1.0
13,-43,1,90.0,1.0
39,-21,1,92.0,1.0
-34,-31,1,129.0,1.0
-17,-27,1,37.0,1.0
29,39,1,112.0,1.0
4,-9,1,119.0,1.0
-22,-2,1,96.0,1.0
29,-25,1,101.0,1.0
-43,40,1,78.0,1.0
-29,12,1,80.0,1.0
8,5,1,118.0,1.0
42,-34,1,54.0,1.0
25,11,1,111.0,1.0
-31,13,1,20.0,1.0
-20,-7,1,110.0,1.0
22,-13,1,70.0,1.0
4,-34,1,99.0,1.0
30,8,1,122.0,1.0
38,5,1,14.0,1.0
34,-12,1,97.0,1.0
5,33,1,13.0,1.0
16,19,1,76.0,1.0
35,10,1,94.0,1.0
-2,-10,1,83.0,1.0
-24,22,1,142.0,1.0
-19,29,1,33.0,1.0
27,-28,1,138.0,1.0
17,22,1,73.0,1.0
23,12,1,79.0,1.0
10,1,1,41.0,1.0
38,-40,1,109.0,1.0
4,-36,1,88.0,1.0
44,33,1,144.0,1.0
9,38,1,143.0,1.0
-20,10,1,134.0,1.0
22,-17,1,68.0,2.0
-6,-2,1,49.0,2.0
26,12,1,111.0,2.0
-34,-41,1,117.0,2.0
34,-13,1,97.0,2.0
-32,-30,1,30.0,2.0
-33,39,1,140.0,2.0
-29,11,1,80.0,2.0
-4,-40,1,18.0,2.0
-44,18,1,22.0,2.0
-38,25,1,72.0,2.0
26,-27,1,138.0,2.0
29,-24,1,101.0,2.0
16,14,1,64.0,2.0
-16,-6,1,31.0,2.0
20,-7,1,34.0,2.0
-37,-42,1,1.0,2.0
5,32,1,13.0,2.0
-6,-40,1,66.0,2.0
-20,9,1,134.0,2.0
39,-41,1,109.0,2.0
-37,-7,1,56.0,2.0
4,12,1,35.0,2.0
-14,21,1,147.0,2.0
-37,34,1,100.0,2.0
-25,31,1,27.0,2.0
-5,-28,1,89.0,2.0
-20,-34,1,29.0,2.0
32,37,1,128.0,2.0
21,-44,1,82.0,2.0
-41,-4,1,141.0,2.0
2,35,1,60.0,2.0
7,-31,1,131.0,2.0
5,-35,1,88.0,2.0
-20,28,1,33.0,2.0
43,32,1,47.0,2.0
-27,-17,1,57.0,2.0
23,-9,1,67.0,2.0
-1,-38,1,40.0,2.0
16,0,1,123.0,2.0
34,-41,1,108.0,2.0
18,21,1,73.0,2.0
32,-27,1,21.0,2.0
28,40,1,112.0,2.0
26,-5,1,107.0,2.0
19,30,1,32.0,2.0
13,-19,1,137.0,2.0
-14,12,1,93.0,2.0
9,37,1,143.0,2.0
-2,-9,1,52.0,2.0
37,4,1,14.0,2.0
21,13,1,59.0,2.0
6,38,1,8.0,2.0
43,2,1,39.0,2.0
20,1,1,125.0,2.0
-28,17,1,132.0,2.0
-31,14,1,20.0,2.0
24,-26,1,145.0,2.0
-22,-29,1,11.0,2.0
-17,-28,1,37.0,2.0
-23,-42,1,91.0,2.0
-22,-3,1,96.0,2.0
-23,-44,1,17.0,2.0
20,-33,1,95.0,2.0
36,-21,1,77.0,2.0
0,-42,1,26.0,2.0
24,12,1,79.0,2.0
12,45,1,0.0,2.0
-42,35,1,3.0,2.0
