x,y,spreed,ant,time
-15,10,1,101,0
-12,42,1,95,0
-15,22,1,68,0
25,20,1,47,0
43,33,1,139,0
39,9,1,146,0
25,43,1,66,0
2,-13,1,147,0
43,37,1,17,0
-35,29,1,117,0
43,27,1,59,0
-13,36,1,50,0
-18,0,1,69,0
11,-6,1,78,0
45,6,1,106,0
20,43,1,131,0
11,-31,1,65,0
-44,-12,1,97,0
-26,-25,1,102,0
-43,40,1,23,0
-1,-38,1,48,0
-19,-31,1,83,0
26,21,1,116,0
-28,16,1,1,0
-4,7,1,119,0
0,28,1,27,0
-15,-9,1,7,0
0,-11,1,76,0
0,12,1,112,0
-32,17,1,140,0
29,-7,1,121,0
42,-31,1,53,0
-18,-6,1,136,0
-46,24,1,22,0
27,19,1,0,0
-14,31,1,129,0
40,-15,1,11,0
41,-45,1,130,0
-41,-5,1,67,0
-43,-5,1,54,0
9,-24,1,29,0
-30,-23,1,45,0
31,22,1,71,0
-40,-38,1,114,0
-20,13,1,128,0
11,-14,1,109,0
6,-8,1,16,0
-12,37,1,104,0
-2,19,1,51,0
16,-8,1,93,0
-29,31,1,99,0
-26,-17,1,3,0
-36,-29,1,94,0
-13,27,1,135,0
39,-24,1,37,0
-21,6,1,5,0
-39,33,1,25,0
42,-22,1,82,0
-25,-39,1,110,0
-11,37,1,35,0
-8,-2,1,44,0
3,-30,1,126,0
22,21,1,42,0
4,-38,1,91,0
-6,-15,1,14,0
11,11,1,52,0
43,39,1,4,0
-34,-13,1,70,0
-30,1,1,105,0
5,18,1,26,0
-11,26,1,63,0
3,-11,1,141,0
39,12,1,113,0
-45,33,1,8,0
-2,-13,1,32,0
27,22,1,20,0
-13,38,1,55,0
42,-27,1,137,0
-32,-41,1,132,0
-21,36,1,108,0
-30,-27,1,111,0
-43,-31,1,18,0
40,-8,1,148,0
-31,3,1,100,0
-24,-7,1,58,0
41,8,1,88,0
-25,5,1,81,0
-44,-17,1,13,0
-18,36,1,46,0
9,37,1,145,0
45,-13,1,34,0
44,-23,1,92,0
-39,24,1,79,0
41,10,1,41,0
-34,31,1,57,0
-14,-36,1,96,0
15,17,1,60,0
35,14,1,89,0
17,-31,1,30,0
-23,-13,1,72,0
-9,-41,1,19,0
15,15,1,9,0
7,25,1,33,0
-22,-14,1,2,0
20,8,1,24,0
-16,0,1,124,0
36,42,1,90,0
15,-12,1,144,0
45,-41,1,142,0
13,24,1,80,0
-8,-31,1,10,0
-2,-36,1,62,0
-14,-24,1,6,0
-35,-16,1,133,0
24,-38,1,120,0
-17,-30,1,122,0
24,-3,1,86,0
24,21,1,12,0
0,20,1,36,0
-27,2,1,38,0
-30,-30,1,39,0
34,0,1,49,0
0,14,1,103,0
-29,-19,1,77,0
3,30,1,15,0
-13,39,1,73,0
-37,-36,1,84,0
37,42,1,21,0
-38,-1,1,61,0
-1,-40,1,56,0
8,15,1,143,0
24,17,1,74,0
-27,-36,1,138,0
-16,-18,1,149,0
-15,44,1,125,0
17,-29,1,107,0
-39,-46,1,75,0
-36,-19,1,123,0
4,-23,1,64,0
38,15,1,43,0
-46,15,1,127,0
34,-38,1,31,0
-15,23,1,134,0
-16,21,1,118,0
-12,18,1,40,0
-2,-35,1,115,0
27,-30,1,87,0
-30,3,1,98,0
-33,21,1,85,0
8,-28,1,28,0
40,8,1,146,1
-31,-30,1,39,1
36,42,1,90,1
-19,0,1,69,1
4,30,1,15,1
4,-31,1,126,1
-2,-37,1,62,1
7,26,1,33,1
-21,36,1,108,1
-40,-6,1,67,1
-13,-36,1,96,1
-14,43,1,125,1
-15,-8,1,7,1
-15,23,1,134,1
24,-37,1,120,1
35,13,1,89,1
8,-29,1,28,1
27,-29,1,87,1
-9,-40,1,19,1
-37,-37,1,84,1
-13,35,1,50,1
0,13,1,112,1
-45,25,1,22,1
16,15,1,9,1
40,-9,1,148,1
-10,36,1,35,1
-25,-18,1,3,1
3,-24,1,64,1
-20,7,1,5,1
41,-26,1,137,1
17,-8,1,93,1
-29,-26,1,111,1
-26,2,1,38,1
-26,-37,1,138,1
44,39,1,4,1
-39,25,1,79,1
-39,-45,1,75,1
44,-14,1,34,1
-25,-40,1,110,1
-12,17,1,40,1
-2,-34,1,115,1
-34,-16,1,133,1
-31,2,1,105,1
3,-12,1,141,1
-17,-19,1,149,1
24,20,1,47,1
-11,38,1,104,1
-14,9,1,101,1
-33,22,1,85,1
40,9,1,88,1
-39,-37,1,114,1
-18,-31,1,83,1
23,18,1,74,1
-21,-14,1,2,1
33,-1,1,49,1
-14,39,1,73,1
-38,34,1,25,1
40,-44,1,130,1
-28,-18,1,77,1
-21,13,1,128,1
16,16,1,60,1
4,-39,1,91,1
-14,-25,1,6,1
44,27,1,59,1
38,-24,1,37,1
0,13,1,103,1
45,7,1,106,1
-18,-7,1,136,1
-28,17,1,1,1
-13,39,1,55,1
12,-31,1,65,1
27,21,1,20,1
4,18,1,26,1
44,-41,1,142,1
-24,-12,1,72,1
-45,34,1,8,1
41,-32,1,53,1
12,-14,1,109,1
17,-30,1,30,1
5,-8,1,16,1
38,12,1,113,1
0,27,1,27,1
-16,22,1,118,1
-1,-41,1,56,1
26,42,1,66,1
35,-38,1,31,1
43,34,1,139,1
10,12,1,52,1
43,38,1,17,1
-14,22,1,68,1
41,-22,1,82,1
-1,-10,1,76,1
-10,27,1,63,1
-29,-24,1,45,1
-28,32,1,99,1
-15,31,1,129,1
23,20,1,12,1
38,14,1,43,1
-33,30,1,57,1
-31,-41,1,132,1
10,-24,1,29,1
21,8,1,24,1
36,42,1,21,1
-26,5,1,81,1
-43,-30,1,18,1
-18,-30,1,122,1
32,21,1,71,1
-36,-18,1,123,1
-13,42,1,95,1
-36,29,1,117,1
14,-11,1,144,1
-1,-39,1,48,1
-29,2,1,98,1
0,21,1,36,1
-19,36,1,46,1
41,-14,1,11,1
-42,39,1,23,1
10,-6,1,78,1
21,20,1,42,1
-1,-13,1,32,1
-12,27,1,135,1
40,11,1,41,1
-7,-31,1,10,1
-45,16,1,127,1
-45,-12,1,97,1
3,-13,1,147,1
-43,-6,1,54,1
43,-23,1,92,1
-5,7,1,119,1
-7,-15,1,14,1
-3,20,1,51,1
28,20,1,0,1
25,22,1,116,1
-23,-7,1,58,1
-16,0,1,124,1
-36,-30,1,94,1
-32,3,1,100,1
18,-30,1,107,1
-37,-2,1,61,1
-34,-12,1,70,1
19,42,1,131,1
-45,-17,1,13,1
13,25,1,80,1
-25,-25,1,102,1
9,14,1,143,1
10,36,1,145,1
29,-7,1,121,1
24,-2,1,86,1
-8,-1,1,44,1
-33,17,1,140,1
41,7,1,146,2
-37,28,1,117,2
3,18,1,26,2
-28,-27,1,111,2
42,-23,1,92,2
-21,-13,1,2,2
-6,8,1,119,2
-46,-12,1,97,2
40,11,1,41,2
13,26,1,80,2
-36,-2,1,61,2
-31,-29,1,39,2
-25,-19,1,3,2
-15,-7,1,7,2
-13,34,1,50,2
36,-37,1,31,2
-22,-7,1,58,2
9,13,1,143,2
-27,-38,1,138,2
35,12,1,89,2
-37,-17,1,123,2
6,27,1,33,2
-25,2,1,38,2
43,-41,1,142,2
-28,2,1,98,2
-42,39,1,23,2
-30,-41,1,132,2
-40,-7,1,67,2
-17,-31,1,83,2
-20,36,1,46,2
-34,18,1,140,2
11,-23,1,29,2
44,6,1,106,2
23,19,1,12,2
-24,-12,1,72,2
-44,-17,1,13,2
28,21,1,20,2
-38,26,1,79,2
22,19,1,74,2
37,12,1,113,2
-1,-9,1,76,2
-39,-44,1,75,2
18,-30,1,107,2
-34,23,1,85,2
0,12,1,103,2
35,41,1,90,2
16,15,1,60,2
-44,-29,1,18,2
-16,31,1,129,2
-29,18,1,1,2
-13,-37,1,96,2
2,-24,1,64,2
-25,-41,1,110,2
-38,-37,1,114,2
39,-43,1,130,2
-44,26,1,22,2
-31,3,1,105,2
-10,38,1,104,2
41,-33,1,53,2
-22,13,1,128,2
24,19,1,47,2
13,-31,1,65,2
10,36,1,145,2
-17,23,1,118,2
-15,-1,1,124,2
41,-25,1,137,2
-1,-39,1,48,2
16,16,1,9,2
-42,-7,1,54,2
0,-13,1,32,2
-10,28,1,63,2
-24,-25,1,102,2
-33,-16,1,133,2
-38,34,1,25,2
-20,8,1,5,2
40,-10,1,148,2
43,39,1,17,2
-14,42,1,125,2
3,-13,1,141,2
-36,-31,1,94,2
44,-15,1,34,2
-34,-11,1,70,2
-15,38,1,73,2
25,22,1,116,2
16,-29,1,30,2
0,-42,1,56,2
-3,-33,1,115,2
-1,14,1,112,2
-20,0,1,69,2
-8,-15,1,14,2
22,8,1,24,2
-44,16,1,127,2
-17,-19,1,149,2
-14,42,1,95,2
-38,-38,1,84,2
5,30,1,15,2
-22,35,1,108,2
18,-7,1,93,2
-28,33,1,99,2
-15,24,1,134,2
10,12,1,52,2
35,42,1,21,2
24,-36,1,120,2
-45,33,1,8,2
-11,17,1,40,2
-7,0,1,44,2
9,-6,1,78,2
5,-32,1,126,2
-26,4,1,81,2
-11,27,1,135,2
5,-40,1,91,2
18,42,1,131,2
-3,20,1,51,2
-6,-31,1,10,2
28,-6,1,121,2
37,-23,1,37,2
-15,-26,1,6,2
7,-30,1,28,2
23,-1,1,86,2
29,20,1,0,2
44,34,1,139,2
41,-23,1,82,2
12,-13,1,109,2
-28,-24,1,45,2
39,10,1,88,2
4,-14,1,147,2
4,-8,1,16,2
21,19,1,42,2
41,-13,1,11,2
-17,-8,1,136,2
-1,-38,1,62,2
-19,-31,1,122,2
-8,-39,1,19,2
-33,29,1,57,2
33,-2,1,49,2
32,20,1,71,2
43,27,1,59,2
-13,40,1,55,2
0,26,1,27,2
-14,8,1,101,2
45,38,1,4,2
37,13,1,43,2
-13,22,1,68,2
-27,-18,1,77,2
-33,2,1,100,2
26,42,1,66,2
-10,35,1,35,2
0,22,1,36,2
13,-11,1,144,2
27,-28,1,87,2
39,10,1,88,3
-12,21,1,68,3
43,-16,1,34,3
-25,-20,1,3,3
-35,18,1,140,3
-1,-8,1,76,3
43,34,1,139,3
12,-23,1,29,3
41,-24,1,137,3
1,-42,1,56,3
-45,-12,1,97,3
23,19,1,47,3
-29,-41,1,132,3
-32,28,1,57,3
-12,-38,1,96,3
-25,-11,1,72,3
0,11,1,103,3
-23,35,1,108,3
-10,16,1,40,3
-24,-42,1,110,3
-15,43,1,95,3
-23,-24,1,102,3
5,-14,1,147,3
-33,-10,1,70,3
-39,-38,1,84,3
0,23,1,36,3
33,19,1,71,3
8,-5,1,78,3
-44,32,1,8,3
5,-41,1,91,3
-4,21,1,51,3
-43,16,1,127,3
-13,33,1,50,3
22,-1,1,86,3
28,-5,1,121,3
12,-10,1,144,3
3,-14,1,141,3
-27,-39,1,138,3
-14,41,1,55,3
26,-27,1,87,3
6,28,1,33,3
-40,-8,1,67,3
37,12,1,43,3
-16,-8,1,136,3
-9,35,1,35,3
-18,-20,1,149,3
34,-3,1,49,3
-32,4,1,105,3
40,-11,1,148,3
41,-23,1,92,3
0,25,1,27,3
43,40,1,17,3
2,17,1,26,3
-34,24,1,85,3
41,-34,1,53,3
-9,29,1,63,3
-21,-8,1,58,3
-17,23,1,118,3
39,12,1,41,3
-39,-43,1,75,3
-36,-3,1,61,3
9,12,1,143,3
-21,0,1,69,3
29,21,1,0,3
-14,7,1,101,3
-38,-37,1,114,3
-20,-31,1,122,3
40,-24,1,82,3
16,-28,1,30,3
-19,8,1,5,3
13,27,1,80,3
2,-25,1,64,3
-14,41,1,125,3
-36,-32,1,94,3
-14,-2,1,124,3
19,-7,1,93,3
5,-32,1,126,3
-37,34,1,25,3
11,35,1,145,3
-16,-32,1,83,3
22,19,1,74,3
-14,-6,1,7,3
27,41,1,66,3
-7,0,1,44,3
-38,28,1,117,3
36,-23,1,37,3
36,12,1,113,3
-9,-14,1,14,3
-33,2,1,100,3
-7,-38,1,19,3
22,18,1,12,3
3,-8,1,16,3
-4,-32,1,115,3
-27,4,1,81,3
-10,27,1,135,3
-23,13,1,128,3
-38,-16,1,123,3
14,-31,1,65,3
23,-35,1,120,3
36,-37,1,31,3
-38,26,1,79,3
17,41,1,131,3
-31,-28,1,39,3
44,38,1,4,3
-42,-8,1,54,3
-15,-27,1,6,3
-24,2,1,38,3
-1,15,1,112,3
-15,37,1,73,3
16,14,1,60,3
18,-31,1,107,3
42,-12,1,11,3
-43,-17,1,13,3
-7,8,1,119,3
-27,-23,1,45,3
42,-41,1,142,3
-41,38,1,23,3
29,21,1,20,3
-1,-39,1,62,3
9,13,1,52,3
1,-13,1,32,3
16,17,1,9,3
-28,34,1,99,3
-44,-28,1,18,3
-20,-12,1,2,3
35,11,1,89,3
-27,-26,1,111,3
24,23,1,116,3
39,-42,1,130,3
44,5,1,106,3
6,31,1,15,3
-27,1,1,98,3
7,-31,1,28,3
13,-12,1,109,3
-17,31,1,129,3
-26,-17,1,77,3
-29,18,1,1,3
-32,-16,1,133,3
-5,-31,1,10,3
41,7,1,146,3
-9,39,1,104,3
-15,25,1,134,3
23,8,1,24,3
-21,36,1,46,3
34,41,1,90,3
-44,27,1,22,3
42,27,1,59,3
34,43,1,21,3
0,-40,1,48,3
22,18,1,42,3
42,6,1,146,4
-27,0,1,98,4
-22,0,1,69,4
38,-42,1,130,4
-36,-33,1,94,4
43,-12,1,11,4
34,-4,1,49,4
16,13,1,60,4
7,31,1,15,4
38,12,1,41,4
33,40,1,90,4
29,-6,1,121,4
-14,-5,1,7,4
-22,37,1,46,4
27,40,1,66,4
-7,-38,1,19,4
38,11,1,88,4
30,22,1,20,4
-14,41,1,55,4
35,11,1,113,4
30,22,1,0,4
-36,34,1,25,4
-26,-10,1,72,4
-1,24,1,27,4
2,-13,1,32,4
12,-22,1,29,4
42,-16,1,34,4
22,17,1,42,4
-19,9,1,5,4
-1,16,1,112,4
22,17,1,12,4
-2,-8,1,76,4
-35,-4,1,61,4
-40,-39,1,84,4
-13,32,1,50,4
-5,-32,1,115,4
-11,-39,1,96,4
-9,16,1,40,4
43,38,1,4,4
-21,-30,1,122,4
-13,-2,1,124,4
-8,39,1,104,4
16,41,1,131,4
-9,26,1,135,4
-16,-9,1,136,4
2,-43,1,56,4
42,-35,1,53,4
-12,20,1,68,4
11,34,1,145,4
7,29,1,33,4
-28,-41,1,132,4
-35,24,1,85,4
8,11,1,143,4
-23,34,1,108,4
-18,24,1,118,4
41,-41,1,142,4
-7,1,1,44,4
-24,-42,1,110,4
37,-36,1,31,4
35,-22,1,37,4
40,-22,1,92,4
42,34,1,139,4
-44,28,1,22,4
1,17,1,26,4
-31,27,1,57,4
8,14,1,52,4
-1,-40,1,62,4
43,41,1,17,4
26,-26,1,87,4
-14,6,1,101,4
-37,27,1,79,4
40,-23,1,137,4
7,-5,1,78,4
21,-1,1,86,4
2,-15,1,141,4
13,28,1,80,4
1,24,1,36,4
-10,-14,1,14,4
-23,-23,1,102,4
33,44,1,21,4
-9,34,1,35,4
-20,-8,1,58,4
-40,-9,1,67,4
34,10,1,89,4
-15,-32,1,83,4
-31,-17,1,133,4
7,-32,1,28,4
-28,3,1,81,4
41,27,1,59,4
-16,43,1,95,4
-39,27,1,117,4
-35,19,1,140,4
2,-8,1,16,4
-40,37,1,23,4
-44,-13,1,97,4
12,-10,1,144,4
-33,-9,1,70,4
-27,-40,1,138,4
-39,-16,1,123,4
-5,21,1,51,4
-25,-21,1,3,4
20,-7,1,93,4
45,4,1,106,4
-15,-28,1,6,4
0,-41,1,48,4
-18,31,1,129,4
-44,-27,1,18,4
6,-14,1,147,4
6,-33,1,126,4
-15,26,1,134,4
-26,-23,1,45,4
15,-30,1,65,4
6,-41,1,91,4
-23,3,1,38,4
22,-35,1,120,4
34,19,1,71,4
-24,13,1,128,4
22,18,1,47,4
-42,-9,1,54,4
1,-26,1,64,4
-43,32,1,8,4
-19,-20,1,149,4
-28,35,1,99,4
-20,-11,1,2,4
36,11,1,43,4
-14,40,1,125,4
40,-12,1,148,4
16,-27,1,30,4
24,8,1,24,4
-4,-31,1,10,4
-30,19,1,1,4
-42,-17,1,13,4
0,10,1,103,4
-32,5,1,105,4
-8,29,1,63,4
23,23,1,116,4
16,18,1,9,4
-25,-17,1,77,4
-42,16,1,127,4
-39,-42,1,75,4
14,-11,1,109,4
40,-25,1,82,4
-34,2,1,100,4
21,20,1,74,4
-26,-25,1,111,4
-30,-29,1,39,4
-37,-36,1,114,4
-15,36,1,73,4
-7,9,1,119,4
19,-32,1,107,4
6,-4,1,78,5
-35,2,1,100,5
-45,-26,1,18,5
-22,-23,1,102,5
0,16,1,26,5
21,-34,1,120,5
-19,32,1,129,5
-35,34,1,25,5
-43,-13,1,97,5
43,-11,1,11,5
16,-30,1,65,5
-40,-39,1,84,5
-25,-22,1,3,5
1,25,1,36,5
22,16,1,42,5
3,-43,1,56,5
-11,-13,1,14,5
13,29,1,80,5
22,23,1,116,5
-36,28,1,79,5
21,17,1,12,5
21,-6,1,93,5
7,30,1,33,5
1,-42,1,48,5
31,23,1,0,5
-2,-7,1,76,5
-24,-43,1,110,5
-25,-23,1,45,5
-29,3,1,81,5
-13,5,1,101,5
-2,24,1,27,5
6,-33,1,28,5
28,39,1,66,5
34,-22,1,37,5
-7,39,1,104,5
-30,-17,1,133,5
7,-33,1,126,5
-15,-29,1,6,5
13,-22,1,29,5
40,-41,1,142,5
1,-8,1,16,5
35,11,1,43,5
-11,20,1,68,5
-9,25,1,135,5
-2,17,1,112,5
16,19,1,9,5
7,-14,1,147,5
-15,27,1,134,5
-19,-10,1,2,5
8,15,1,52,5
-32,6,1,105,5
-14,35,1,73,5
11,-9,1,144,5
-39,-15,1,123,5
42,-17,1,34,5
-11,-39,1,96,5
-3,-31,1,10,5
0,-27,1,64,5
-41,38,1,23,5
2,-16,1,141,5
0,-41,1,62,5
-35,-5,1,61,5
35,11,1,113,5
-14,-32,1,83,5
-43,29,1,22,5
6,-42,1,91,5
-6,-37,1,19,5
40,-22,1,137,5
-24,13,1,128,5
29,-7,1,121,5
-36,-36,1,114,5
