x,y,spreed,ants,time
5,-1,1,2,0
0,-22,1,0,0
-6,-17,1,15,0
7,-2,1,27,0
-28,-13,1,16,0
-7,-40,1,68,0
23,-3,1,32,0
-19,40,1,37,0
12,-46,1,10,0
-29,-45,1,74,0
-35,30,1,6,0
19,7,1,33,0
35,30,1,67,0
-22,33,1,62,0
-30,3,1,66,0
-27,-25,1,23,0
-5,-16,1,69,0
4,-28,1,19,0
41,-18,1,72,0
20,20,1,40,0
-25,-29,1,18,0
-5,-16,1,73,0
-26,-12,1,49,0
2,40,1,52,0
19,-19,1,61,0
-37,-19,1,17,0
-15,-26,1,63,0
-13,-24,1,29,0
-35,-30,1,50,0
6,12,1,36,0
42,43,1,34,0
40,-19,1,5,0
-14,-40,1,57,0
15,-2,1,45,0
-7,31,1,26,0
39,-10,1,1,0
38,4,1,60,0
7,24,1,11,0
-2,-36,1,54,0
-13,14,1,8,0
35,-13,1,13,0
-19,-32,1,35,0
-45,-11,1,48,0
-39,-13,1,24,0
-36,7,1,3,0
17,-2,1,9,0
-20,41,1,20,0
-2,-45,1,44,0
16,-27,1,53,0
-33,36,1,65,0
-23,-35,1,39,0
2,18,1,41,0
-18,1,1,71,0
-18,-16,1,22,0
-20,6,1,31,0
-14,-22,1,58,0
20,-26,1,55,0
13,11,1,28,0
-18,-16,1,7,0
-46,16,1,12,0
23,-39,1,21,0
19,44,1,47,0
-31,-36,1,46,0
28,12,1,4,0
10,34,1,59,0
26,26,1,56,0
-7,40,1,64,0
42,41,1,25,0
15,-17,1,51,0
-39,-12,1,38,0
-8,8,1,70,0
-11,-9,1,14,0
-32,28,1,42,0
-26,-36,1,30,0
14,26,1,43,0
-23,39,1,149,0
-30,-16,1,105,0
-6,7,1,108,0
-9,16,1,102,0
-45,12,1,88,0
-25,-18,1,145,0
-39,35,1,130,0
-9,22,1,92,0
-38,12,1,123,0
4,-6,1,111,0
4,-42,1,121,0
-45,4,1,82,0
-42,-22,1,77,0
-39,17,1,79,0
-13,8,1,75,0
-3,-13,1,99,0
-9,-31,1,112,0
-31,-27,1,143,0
36,9,1,148,0
-32,21,1,126,0
27,-6,1,89,0
-1,44,1,127,0
-27,-8,1,136,0
-24,-22,1,116,0
-15,-42,1,110,0
19,24,1,109,0
-8,-11,1,113,0
19,-44,1,103,0
-44,33,1,100,0
-42,-30,1,107,0
9,-35,1,137,0
40,27,1,104,0
7,-6,1,83,0
-30,27,1,78,0
-37,5,1,140,0
-7,38,1,95,0
37,36,1,80,0
24,2,1,98,0
35,-16,1,117,0
18,-1,1,139,0
38,-24,1,106,0
-41,-8,1,133,0
-22,38,1,87,0
28,-15,1,101,0
-37,32,1,131,0
44,8,1,90,0
