x,y,spreed,ent,time
-29,3,1,27,0
-3,-31,1,17,0
20,-14,1,10,0
-32,13,1,38,0
-44,-32,1,44,0
-10,-4,1,72,0
-36,27,1,71,0
18,-30,1,54,0
7,-7,1,20,0
41,-12,1,41,0
42,-5,1,42,0
-28,-35,1,29,0
-6,-26,1,61,0
-30,3,1,57,0
35,-19,1,33,0
-4,8,1,69,0
17,11,1,1,0
3,-15,1,12,0
-22,-41,1,24,0
-41,-24,1,4,0
-46,-16,1,31,0
14,-40,1,52,0
-37,18,1,32,0
-30,25,1,35,0
-37,-44,1,11,0
3,30,1,0,0
2,30,1,53,0
12,-38,1,39,0
27,-20,1,19,0
-15,-7,1,59,0
-43,-44,1,7,0
13,21,1,58,0
28,-10,1,66,0
16,30,1,48,0
-8,28,1,50,0
19,3,1,55,0
36,40,1,14,0
25,20,1,62,0
-31,-28,1,49,0
20,-17,1,15,0
0,-42,1,37,0
-23,-16,1,25,0
-13,-17,1,40,0
-40,-29,1,36,0
34,34,1,74,0
-3,45,1,45,0
-9,-29,1,22,0
4,20,1,51,0
14,-44,1,64,0
-25,-5,1,28,0
6,-11,1,60,0
25,30,1,65,0
-43,24,1,5,0
13,-4,1,13,0
-45,42,1,26,0
25,-3,1,18,0
-8,-6,1,23,0
-24,-23,1,9,0
-40,21,1,34,0
9,-36,1,63,0
-28,17,1,43,0
40,-37,1,6,0
-8,21,1,46,0
11,-29,1,21,0
34,39,1,8,0
-29,-33,1,47,0
36,27,1,16,0
26,4,1,56,0
-27,20,1,2,0
38,35,1,30,0
-8,2,1,70,0
13,-6,1,68,0
21,-45,1,67,0
-25,30,1,73,0
-26,20,1,3,0
30,22,1,79,0
-39,6,1,133,0
18,-32,1,140,0
-3,-22,1,103,0
-14,27,1,148,0
25,3,1,131,0
-16,-27,1,93,0
14,-14,1,146,0
34,1,1,108,0
10,-11,1,124,0
31,3,1,101,0
27,29,1,120,0
34,14,1,125,0
37,34,1,102,0
34,-28,1,90,0
-37,27,1,134,0
-4,-7,1,128,0
-16,28,1,109,0
18,-44,1,81,0
-40,-18,1,86,0
43,-7,1,143,0
11,-13,1,100,0
4,-23,1,95,0
-12,-43,1,84,0
17,-31,1,106,0
-41,-36,1,138,0
-25,-8,1,111,0
23,6,1,80,0
-16,3,1,82,0
20,-30,1,92,0
-5,24,1,141,0
8,-23,1,135,0
23,-27,1,142,0
-12,-19,1,96,0
15,13,1,112,0
-35,-15,1,91,0
-27,39,1,75,0
-33,-11,1,119,0
-21,25,1,132,0
28,-41,1,145,0
-22,-45,1,88,0
-30,-24,1,126,0
-41,-5,1,94,0
-24,-39,1,114,0
8,6,1,99,0
-18,11,1,149,0
17,30,1,77,0
36,-23,1,89,0
35,22,1,107,0
10,-5,1,78,0
3,-20,1,136,0
39,12,1,113,0
40,36,1,127,0
-9,40,1,116,0
-29,-13,1,118,0
-21,-17,1,110,0
-21,1,1,83,0
14,20,1,129,0
-28,12,1,137,0
-38,39,1,144,0
-2,-34,1,76,0
40,-38,1,97,0
35,-25,1,87,0
-25,-25,1,123,0
7,28,1,122,0
-17,-14,1,147,0
-27,7,1,139,0
45,-30,1,98,0
32,29,1,121,0
-42,-33,1,105,0
6,36,1,117,0
-24,36,1,115,0
-1,-36,1,104,0
36,-10,1,130,0
25,20,1,85,0
-27,-35,1,29,1
14,-39,1,52,1
8,-35,1,63,1
-45,-32,1,44,1
43,-6,1,42,1
26,30,1,65,1
-46,-17,1,31,1
-8,-29,1,22,1
-36,28,1,71,1
18,12,1,1,1
33,39,1,8,1
-32,14,1,38,1
-42,-23,1,4,1
13,21,1,58,1
37,39,1,14,1
-41,-29,1,36,1
4,19,1,51,1
-3,44,1,45,1
-24,-15,1,25,1
-14,-16,1,40,1
7,-11,1,60,1
-14,-7,1,59,1
-8,-6,1,23,1
41,-13,1,41,1
-28,20,1,2,1
-29,25,1,35,1
26,-2,1,18,1
1,29,1,53,1
26,-20,1,19,1
21,-13,1,10,1
-11,-3,1,72,1
38,35,1,30,1
12,-28,1,21,1
-25,-4,1,28,1
36,28,1,16,1
-30,3,1,27,1
14,-6,1,68,1
-24,-22,1,9,1
27,-10,1,66,1
17,-31,1,54,1
-7,29,1,50,1
-32,-27,1,49,1
22,-45,1,67,1
-9,2,1,70,1
17,31,1,48,1
-29,4,1,57,1
15,-43,1,64,1
-7,-25,1,61,1
-21,-42,1,24,1
-36,-44,1,11,1
20,4,1,55,1
20,-16,1,15,1
-44,-44,1,7,1
25,4,1,56,1
-39,21,1,34,1
26,20,1,62,1
39,-38,1,6,1
-37,17,1,32,1
-42,25,1,5,1
-27,17,1,43,1
-5,8,1,69,1
34,35,1,74,1
13,-5,1,13,1
-4,-31,1,17,1
-25,31,1,73,1
-26,21,1,3,1
8,-7,1,20,1
4,-14,1,12,1
-45,41,1,26,1
34,-20,1,33,1
12,-37,1,39,1
-28,-33,1,47,1
2,29,1,0,1
-1,-42,1,37,1
-7,22,1,46,1
-34,-12,1,119,1
-37,39,1,144,1
-26,-7,1,111,1
-9,39,1,116,1
35,1,1,108,1
40,37,1,127,1
-18,12,1,149,1
25,3,1,131,1
32,29,1,121,1
-28,7,1,139,1
-17,29,1,109,1
