x,y,spreed,ant,time
11,40,1,24,0
-45,34,1,28,0
-12,-11,1,4,0
-27,-12,1,58,0
-14,37,1,70,0
-12,-3,1,15,0
22,10,1,42,0
21,39,1,5,0
39,-3,1,40,0
-36,35,1,67,0
11,-36,1,0,0
-15,20,1,26,0
-39,-23,1,32,0
-20,-45,1,36,0
-9,1,1,41,0
-41,-5,1,53,0
-26,-24,1,18,0
-33,-15,1,10,0
44,38,1,73,0
-1,20,1,68,0
39,28,1,44,0
-29,-19,1,38,0
11,0,1,54,0
31,44,1,47,0
25,7,1,52,0
-44,-24,1,69,0
-15,27,1,59,0
8,13,1,62,0
-38,17,1,16,0
-8,-26,1,3,0
26,-38,1,31,0
-25,21,1,6,0
9,43,1,45,0
38,-39,1,63,0
30,9,1,25,0
7,39,1,57,0
33,-3,1,9,0
-11,22,1,2,0
14,8,1,61,0
-30,11,1,48,0
3,-41,1,65,0
41,21,1,13,0
-40,41,1,60,0
12,-21,1,39,0
29,-4,1,56,0
30,-19,1,12,0
30,-26,1,66,0
31,36,1,19,0
17,39,1,20,0
0,44,1,64,0
36,-33,1,43,0
-40,17,1,17,0
-38,-43,1,33,0
-5,25,1,21,0
42,-26,1,74,0
-15,-36,1,29,0
21,-38,1,30,0
18,23,1,8,0
22,22,1,27,0
5,23,1,35,0
-33,41,1,23,0
40,1,1,51,0
31,-37,1,37,0
-34,17,1,55,0
-1,-31,1,72,0
17,-6,1,34,0
11,17,1,11,0
-23,-11,1,1,0
-40,-38,1,14,0
-33,0,1,22,0
-36,31,1,7,0
22,9,1,50,0
26,-12,1,71,0
-30,-38,1,46,0
-22,-46,1,49,0
22,41,1,91,0
-8,-12,1,93,0
26,5,1,114,0
12,9,1,148,0
-14,38,1,78,0
-7,-42,1,145,0
-43,-27,1,81,0
38,26,1,143,0
7,-38,1,103,0
-19,2,1,131,0
4,-26,1,117,0
-4,-20,1,102,0
3,41,1,75,0
-31,-23,1,82,0
-1,-12,1,135,0
-8,-22,1,104,0
20,-36,1,124,0
44,-37,1,146,0
-42,39,1,142,0
13,-19,1,87,0
22,20,1,121,0
20,33,1,77,0
-29,12,1,101,0
-39,-26,1,127,0
-12,37,1,80,0
-23,25,1,95,0
-23,-26,1,76,0
1,21,1,83,0
-21,-41,1,132,0
10,1,1,113,0
-40,-28,1,97,0
-13,22,1,129,0
39,11,1,106,0
-8,14,1,133,0
-9,-18,1,118,0
3,39,1,126,0
-34,20,1,139,0
44,8,1,94,0
9,-38,1,109,0
-34,-44,1,90,0
-36,-5,1,136,0
2,5,1,125,0
-16,-12,1,112,0
36,40,1,134,0
-36,-30,1,130,0
-35,11,1,120,0
-23,-14,1,119,0
36,-41,1,89,0
-37,-28,1,105,0
42,-32,1,122,0
39,-28,1,128,0
-24,-44,1,108,0
-24,-18,1,86,0
-22,-24,1,147,0
33,22,1,85,0
25,-12,1,144,0
-30,-45,1,98,0
39,10,1,110,0
-39,-7,1,115,0
11,-9,1,111,0
21,42,1,99,0
30,-3,1,100,0
-31,31,1,107,0
-38,-5,1,92,0
10,-15,1,88,0
26,-33,1,96,0
2,-22,1,79,0
-32,13,1,138,0
-6,10,1,141,0
-38,9,1,116,0
0,35,1,140,0
28,17,1,137,0
11,5,1,123,0
36,12,1,84,0
-10,29,1,149,0
39,29,1,44,1
-14,26,1,59,1
31,37,1,19,1
33,-4,1,9,1
42,-25,1,74,1
8,14,1,62,1
18,22,1,8,1
-39,-37,1,14,1
11,-1,1,54,1
3,-42,1,65,1
32,44,1,47,1
36,-32,1,43,1
40,2,1,51,1
-21,-45,1,49,1
-29,11,1,48,1
8,43,1,45,1
6,39,1,57,1
1,45,1,64,1
39,-39,1,63,1
-36,30,1,7,1
-11,-11,1,4,1
11,39,1,24,1
30,-27,1,66,1
-33,17,1,55,1
5,22,1,35,1
-42,-4,1,53,1
17,-7,1,34,1
0,20,1,68,1
27,-12,1,71,1
22,38,1,5,1
11,16,1,11,1
-2,-31,1,72,1
-44,35,1,28,1
-15,-37,1,29,1
-16,20,1,26,1
-24,21,1,6,1
21,-38,1,30,1
-40,17,1,17,1
30,8,1,25,1
30,-3,1,56,1
-34,41,1,23,1
11,-35,1,0,1
-38,17,1,16,1
-29,-37,1,46,1
-23,-10,1,1,1
45,39,1,73,1
11,-21,1,39,1
39,-2,1,40,1
29,-19,1,12,1
23,21,1,27,1
42,21,1,13,1
-13,37,1,70,1
-5,24,1,21,1
-34,-15,1,10,1
-37,35,1,67,1
31,-36,1,37,1
27,-38,1,31,1
18,39,1,20,1
-20,-46,1,36,1
-32,1,1,22,1
25,6,1,52,1
-38,-23,1,32,1
-9,-25,1,3,1
22,8,1,50,1
-39,40,1,60,1
-43,-25,1,69,1
-12,22,1,2,1
-39,-43,1,33,1
-29,-20,1,38,1
-9,2,1,41,1
-12,-3,1,15,1
-26,-12,1,58,1
14,9,1,61,1
22,9,1,42,1
-27,-25,1,18,1
3,39,1,126,1
43,8,1,94,1
-42,-27,1,81,1
2,-21,1,79,1
7,-37,1,103,1
40,10,1,110,1
-40,-26,1,127,1
-23,-19,1,86,1
-22,25,1,95,1
-31,32,1,107,1
14,-19,1,87,1
-32,14,1,138,1
-1,36,1,140,1
19,-37,1,124,1
36,-40,1,89,1
-29,-45,1,98,1
5,-25,1,117,1
22,41,1,99,1
-23,-23,1,147,1
-23,-14,1,119,1
2,6,1,125,1
29,-2,1,100,1
21,40,1,91,1
-9,-19,1,118,1
-8,-21,1,104,1
8,-38,1,109,1
-37,-5,1,136,1
25,-11,1,144,1
-7,14,1,133,1
-33,-45,1,90,1
-11,29,1,149,1
-22,-42,1,132,1
22,20,1,121,1
10,-9,1,111,1
-37,-30,1,130,1
-33,19,1,139,1
-4,-20,1,102,1
-15,-13,1,112,1
-8,-13,1,93,1
-12,22,1,129,1
40,11,1,106,1
36,12,1,84,1
-29,12,1,101,1
29,17,1,137,1
-39,-5,1,92,1
3,41,1,75,1
27,5,1,114,1
26,-32,1,96,1
-24,-25,1,76,1
43,-36,1,146,1
-42,40,1,142,1
10,0,1,113,1
-15,38,1,78,1
-31,-23,1,82,1
-23,-44,1,108,1
11,6,1,123,1
-34,12,1,120,1
1,21,1,83,1
19,32,1,77,1
-38,-28,1,105,1
-1,-11,1,135,1
11,9,1,148,1
38,-29,1,128,1
32,21,1,85,1
10,-16,1,88,1
39,26,1,143,1
-38,-7,1,115,1
-7,9,1,141,1
41,-32,1,122,1
-19,1,1,131,1
-8,-41,1,145,1
35,39,1,134,1
-39,-28,1,97,1
-12,36,1,80,1
-37,9,1,116,1
17,-8,1,34,2
-25,-13,1,58,2
5,21,1,35,2
-10,2,1,41,2
22,-39,1,30,2
-15,-38,1,29,2
13,9,1,61,2
6,38,1,57,2
25,5,1,52,2
7,42,1,45,2
11,38,1,24,2
39,-1,1,40,2
40,-39,1,63,2
-2,-32,1,72,2
-44,36,1,28,2
40,3,1,51,2
-43,-3,1,53,2
24,21,1,27,2
29,7,1,25,2
-38,35,1,67,2
42,-24,1,74,2
-39,16,1,17,2
27,-11,1,71,2
-13,-4,1,15,2
10,15,1,11,2
-37,-23,1,32,2
-35,40,1,23,2
-33,16,1,55,2
