x,y,spreed,ent,time
24,1,1,24,0
8,18,1,8,0
-10,-4,1,10,0
-9,-8,1,1,0
5,10,1,7,0
-15,20,1,6,0
-14,22,1,4,0
-25,-10,1,14,0
23,-22,1,22,0
12,7,1,11,0
-24,19,1,25,0
-23,22,1,26,0
19,-20,1,3,0
25,-1,1,15,0
-12,-17,1,12,0
15,15,1,27,0
19,-6,1,23,0
-12,7,1,21,0
6,-10,1,5,0
22,4,1,29,0
12,7,1,16,0
25,15,1,2,0
2,3,1,0,0
-22,17,1,17,0
-22,10,1,18,0
1,10,1,9,0
7,21,1,20,0
11,-19,1,13,0
10,14,1,28,0
3,18,1,19,0
-23,17,1,17,1
23,4,1,29,1
8,19,1,8,1
-25,-9,1,14,1
24,-22,1,22,1
11,7,1,11,1
12,-19,1,13,1
7,21,1,20,1
5,9,1,7,1
24,0,1,15,1
3,17,1,19,1
-23,10,1,18,1
-12,-17,1,12,1
13,7,1,16,1
-10,-5,1,10,1
6,-9,1,5,1
18,-6,1,23,1
-12,6,1,21,1
-23,19,1,25,1
10,15,1,28,1
25,16,1,2,1
14,14,1,27,1
-13,23,1,4,1
19,-19,1,3,1
0,10,1,9,1
-24,22,1,26,1
23,1,1,24,1
3,4,1,0,1
-10,-8,1,1,1
-14,20,1,6,1
-10,-6,1,10,2
-12,5,1,21,2
17,-5,1,23,2
-12,23,1,4,2
3,16,1,19,2
8,20,1,8,2
4,8,1,7,2
-24,17,1,17,2
23,1,1,15,2
6,-8,1,5,2
18,-19,1,3,2
-11,-17,1,12,2
25,-21,1,22,2
-22,19,1,25,2
3,5,1,0,2
6,20,1,20,2
-24,10,1,18,2
10,16,1,28,2
-25,21,1,26,2
-14,21,1,6,2
22,0,1,24,2
10,7,1,11,2
14,8,1,16,2
24,4,1,29,2
-10,-9,1,1,2
25,17,1,2,2
14,13,1,27,2
-1,11,1,9,2
13,-19,1,13,2
-25,-9,1,14,2
24,-21,1,22,3
-25,17,1,17,3
13,13,1,27,3
16,-5,1,23,3
11,17,1,28,3
-25,-9,1,14,3
-11,-10,1,1,3
6,-7,1,5,3
-2,11,1,9,3
24,18,1,2,3
-22,18,1,25,3
-12,4,1,21,3
-25,21,1,26,3
-10,-16,1,12,3
4,7,1,7,3
9,20,1,8,3
2,15,1,19,3
-10,-7,1,10,3
22,-1,1,24,3
10,6,1,11,3
4,5,1,0,3
18,-18,1,3,3
-25,10,1,18,3
5,20,1,20,3
24,3,1,29,3
23,2,1,15,3
-12,23,1,4,3
14,8,1,16,3
-13,21,1,6,3
13,-18,1,13,3
-12,-10,1,1,4
5,5,1,0,4
-9,-16,1,12,4
4,20,1,20,4
-11,24,1,4,4
10,5,1,11,4
-26,16,1,17,4
14,-18,1,13,4
-2,12,1,9,4
21,-1,1,24,4
4,6,1,7,4
5,-7,1,5,4
22,2,1,15,4
24,19,1,2,4
14,9,1,16,4
-22,17,1,25,4
11,18,1,28,4
9,21,1,8,4
-25,9,1,18,4
12,12,1,27,4
-24,-10,1,14,4
-25,22,1,26,4
-12,21,1,6,4
25,2,1,29,4
17,-17,1,3,4
23,-22,1,22,4
-12,3,1,21,4
1,14,1,19,4
-9,-8,1,10,4
15,-5,1,23,4
8,22,1,8,5
-10,25,1,4,5
11,12,1,27,5
-23,-10,1,14,5
6,6,1,0,5
3,19,1,20,5
3,6,1,7,5
12,18,1,28,5
