x,y,spreed,ent,time
-1,-1,1,0,0
-16,-7,1,24,0
16,17,1,17,0
-3,-14,1,20,0
8,19,1,16,0
3,23,1,21,0
22,15,1,27,0
-24,-12,1,19,0
9,-25,1,26,0
-22,5,1,29,0
24,-11,1,15,0
-1,-8,1,25,0
-6,-7,1,23,0
6,22,1,18,0
2,20,1,28,0
-9,19,1,22,0
-9,2,1,13,0
1,3,1,2,0
10,-11,1,9,0
10,3,1,11,0
-13,4,1,3,0
-6,4,1,6,0
-4,7,1,8,0
0,4,1,5,0
2,-3,1,4,0
6,-8,1,12,0
-1,2,1,10,0
-2,-1,1,1,0
2,4,1,14,0
-2,-2,1,7,0
-2,-2,1,0,1
10,-26,1,26,1
22,16,1,27,1
15,16,1,17,1
25,-12,1,15,1
4,22,1,21,1
-23,-12,1,19,1
-17,-7,1,24,1
-4,-13,1,20,1
-2,-8,1,25,1
9,18,1,16,1
-22,5,1,29,1
7,22,1,18,1
-6,-6,1,23,1
3,20,1,28,1
-9,20,1,22,1
3,4,1,14,1
-3,-2,1,1,1
-3,7,1,8,1
0,3,1,5,1
-1,1,1,10,1
0,2,1,2,1
5,-7,1,12,1
-7,3,1,6,1
-1,-1,1,7,1
9,2,1,11,1
10,-10,1,9,1
-12,4,1,3,1
-8,1,1,13,1
1,-2,1,4,1
-3,-2,1,0,2
-5,-13,1,20,2
-5,-5,1,23,2
14,16,1,17,2
-22,-12,1,19,2
-21,6,1,29,2
-18,-6,1,24,2
3,21,1,28,2
21,17,1,27,2
9,17,1,16,2
25,-11,1,15,2
5,22,1,21,2
-3,-9,1,25,2
-9,21,1,22,2
9,-25,1,26,2
8,21,1,18,2
-4,-2,1,1,2
-1,0,1,10,2
0,-2,1,4,2
-2,6,1,8,2
4,-7,1,12,2
0,1,1,2,2
-1,2,1,5,2
8,2,1,11,2
-7,2,1,13,2
4,4,1,14,2
-8,2,1,6,2
-11,4,1,3,2
-1,0,1,7,2
10,-9,1,9,2
-4,-3,1,0,3
10,17,1,16,3
21,17,1,27,3
-9,22,1,22,3
13,16,1,17,3
24,-11,1,15,3
-4,-9,1,25,3
9,21,1,18,3
-21,-13,1,19,3
-6,-13,1,20,3
9,-24,1,26,3
-5,-4,1,23,3
6,22,1,21,3
4,22,1,28,3
-20,7,1,29,3
-18,-5,1,24,3
-1,0,1,2,3
10,-8,1,9,3
-1,6,1,8,3
-1,-1,1,10,3
-2,1,1,5,3
3,-6,1,12,3
-10,4,1,3,3
-6,2,1,13,3
5,4,1,14,3
-8,2,1,6,3
-1,1,1,7,3
7,2,1,11,3
-1,-1,1,4,3
-5,-2,1,1,3
-4,-4,1,0,4
9,-23,1,26,4
10,21,1,18,4
23,-10,1,15,4
-20,-13,1,19,4
-19,-4,1,24,4
20,18,1,27,4
-10,23,1,22,4
4,23,1,28,4
11,16,1,16,4
12,15,1,17,4
-7,-12,1,20,4
-5,-8,1,25,4
-5,-4,1,23,4
-19,7,1,29,4
7,22,1,21,4
-1,-2,1,10,4
-9,4,1,3,4
-6,-2,1,1,4
-5,3,1,13,4
-2,1,1,5,4
-1,2,1,7,4
6,1,1,11,4
10,-7,1,9,4
-2,0,1,2,4
0,6,1,8,4
3,-5,1,12,4
-9,1,1,6,4
-2,-1,1,4,4
6,4,1,14,4
-5,-4,1,0,5
8,22,1,21,5
19,19,1,27,5
22,-10,1,15,5
-18,6,1,29,5
-10,23,1,22,5
-19,-14,1,19,5
10,20,1,18,5
-6,-8,1,25,5
-5,-3,1,23,5
3,24,1,28,5
11,15,1,17,5
11,15,1,16,5
-8,-12,1,20,5
-19,-4,1,24,5
8,-22,1,26,5
-1,0,1,5,5
2,-5,1,12,5
-8,2,1,6,5
-5,-3,1,1,5
-1,0,1,2,5
9,-6,1,9,5
5,2,1,11,5
-8,3,1,3,5
6,3,1,14,5
-1,1,1,7,5
-1,-1,1,10,5
0,5,1,8,5
-5,2,1,13,5
-2,0,1,4,5
-6,-4,1,0,6
7,-22,1,26,6
11,20,1,18,6
-18,-14,1,19,6
-20,-4,1,24,6
8,21,1,21,6
21,-10,1,15,6
-5,-2,1,23,6
12,15,1,16,6
-18,6,1,29,6
-7,-8,1,25,6
18,19,1,27,6
-11,24,1,22,6
10,15,1,17,6
-8,-11,1,20,6
2,24,1,28,6
-8,2,1,3,6
-7,2,1,6,6
1,-5,1,12,6
-6,1,1,13,6
-1,4,1,8,6
-1,0,1,7,6
0,1,1,2,6
-1,-1,1,5,6
-2,1,1,4,6
4,2,1,11,6
-1,0,1,10,6
9,-5,1,9,6
6,2,1,14,6
-4,-3,1,1,6
-7,-5,1,0,7
-17,5,1,29,7
13,16,1,16,7
-21,-4,1,24,7
9,15,1,17,7
12,19,1,18,7
20,-10,1,15,7
1,24,1,28,7
8,20,1,21,7
-7,-10,1,20,7
-18,-15,1,19,7
-5,-1,1,23,7
17,20,1,27,7
-8,-8,1,25,7
-12,23,1,22,7
6,-22,1,26,7
0,-6,1,12,7
-7,3,1,6,7
-1,-1,1,7,7
5,1,1,14,7
-3,2,1,4,7
1,1,1,2,7
-7,0,1,13,7
8,-4,1,9,7
-7,1,1,3,7
-1,3,1,8,7
3,2,1,11,7
0,-2,1,5,7
-4,-4,1,1,7
-2,1,1,10,7
-8,-5,1,0,8
14,16,1,16,8
9,19,1,21,8
-9,-8,1,25,8
20,-9,1,15,8
-6,0,1,23,8
-17,4,1,29,8
12,18,1,18,8
5,-22,1,26,8
-13,22,1,22,8
-17,-16,1,19,8
0,25,1,28,8
16,20,1,27,8
8,15,1,17,8
-22,-4,1,24,8
-6,-9,1,20,8
-3,-5,1,1,8
-8,0,1,13,8
2,2,1,2,8
-1,-6,1,12,8
-8,0,1,3,8
-2,2,1,10,8
7,-4,1,9,8
