x,y,spreed,lobo,time
0,-1,1,0,0
-10,-25,1,15,0
10,21,1,25,0
18,-16,1,20,0
4,19,1,22,0
8,-26,1,16,0
-25,-15,1,18,0
22,23,1,23,0
9,-22,1,29,0
20,-4,1,26,0
20,-5,1,21,0
-2,0,1,19,0
-13,-5,1,24,0
11,10,1,17,0
-18,1,1,27,0
21,6,1,28,0
3,6,1,6,0
-2,-4,1,3,0
4,3,1,2,0
-4,0,1,5,0
-5,-1,1,9,0
-6,-2,1,14,0
0,-1,1,13,0
-6,6,1,1,0
3,0,1,8,0
-2,5,1,11,0
3,0,1,10,0
-6,3,1,4,0
-9,0,1,12,0
5,4,1,7,0
1,-1,1,0,1
-19,1,1,27,1
20,-5,1,26,1
-24,-14,1,18,1
10,11,1,17,1
5,19,1,22,1
-10,-24,1,15,1
8,-26,1,16,1
10,-23,1,29,1
-12,-6,1,24,1
-2,1,1,19,1
21,23,1,23,1
11,22,1,25,1
22,6,1,28,1
18,-15,1,20,1
20,-6,1,21,1
2,6,1,6,1
-2,-3,1,3,1
3,-1,1,8,1
3,3,1,2,1
-7,-2,1,14,1
-1,-1,1,13,1
4,4,1,7,1
-3,0,1,5,1
-4,-1,1,9,1
-6,5,1,1,1
-8,0,1,12,1
-6,2,1,4,1
-3,4,1,11,1
4,1,1,10,1
2,-1,1,0,2
-11,-6,1,24,2
20,24,1,23,2
9,10,1,17,2
20,-6,1,26,2
23,6,1,28,2
6,20,1,22,2
12,23,1,25,2
-24,-13,1,18,2
11,-23,1,29,2
-10,-23,1,15,2
-20,1,1,27,2
-2,2,1,19,2
20,-7,1,21,2
19,-14,1,20,2
8,-25,1,16,2
-7,1,1,12,2
-2,0,1,5,2
-4,4,1,11,2
-5,4,1,1,2
-8,-3,1,14,2
-2,-2,1,3,2
2,3,1,2,2
1,7,1,6,2
3,5,1,7,2
-7,1,1,4,2
-3,-1,1,9,2
3,2,1,10,2
-2,0,1,13,2
4,-2,1,8,2
3,-2,1,0,3
20,-7,1,26,3
9,-25,1,16,3
-10,-6,1,24,3
24,6,1,28,3
7,20,1,22,3
-11,-23,1,15,3
20,-8,1,21,3
-3,3,1,19,3
-24,-12,1,18,3
-21,1,1,27,3
8,10,1,17,3
19,24,1,23,3
12,24,1,25,3
19,-13,1,20,3
12,-23,1,29,3
3,3,1,10,3
-7,0,1,4,3
-3,0,1,13,3
0,7,1,6,3
-6,1,1,12,3
-5,3,1,11,3
2,5,1,7,3
-9,-3,1,14,3
-5,3,1,1,3
1,3,1,2,3
-1,-1,1,5,3
-2,-2,1,9,3
-1,-1,1,3,3
5,-3,1,8,3
4,-2,1,0,4
18,24,1,23,4
13,24,1,25,4
21,-8,1,26,4
-4,3,1,19,4
10,-24,1,16,4
-24,-11,1,18,4
-10,-7,1,24,4
-12,-22,1,15,4
8,11,1,17,4
-22,1,1,27,4
7,21,1,22,4
13,-23,1,29,4
20,-14,1,20,4
23,6,1,28,4
20,-9,1,21,4
-1,0,1,3,4
-1,-2,1,9,4
2,4,1,10,4
-4,2,1,1,4
0,3,1,2,4
-5,2,1,12,4
-7,-1,1,4,4
-4,0,1,13,4
1,5,1,7,4
0,-1,1,5,4
-1,8,1,6,4
-5,2,1,11,4
6,-3,1,8,4
-10,-4,1,14,4
5,-2,1,0,5
-23,1,1,27,5
23,5,1,28,5
17,24,1,23,5
21,-13,1,20,5
13,24,1,25,5
-5,2,1,19,5
8,22,1,22,5
14,-23,1,29,5
-13,-22,1,15,5
21,-9,1,21,5
8,12,1,17,5
-24,-10,1,18,5
10,-23,1,16,5
-10,-8,1,24,5
21,-9,1,26,5
-3,3,1,1,5
0,0,1,3,5
-3,1,1,13,5
3,4,1,10,5
-1,7,1,6,5
-6,-2,1,4,5
1,4,1,7,5
-1,2,1,2,5
-1,-3,1,9,5
-9,-4,1,14,5
6,-4,1,8,5
-4,2,1,11,5
-4,2,1,12,5
0,0,1,5,5
6,-2,1,0,6
22,5,1,28,6
-14,-23,1,15,6
-11,-9,1,24,6
16,23,1,23,6
-6,2,1,19,6
22,-13,1,20,6
15,-23,1,29,6
